"","P_CODE","REEF","SITE_NO","TRANSECT_NO","LATITUDE","LONGITUDE","REPORT_YEAR","DATE","fYEAR","fDEPTH","REEF_ZONE","fGROUP","GROUP_DESC","COUNT","TOTAL","PERC_COVER","ZONE_DEPTH","tier4","tier5"
"28","1","Agincourt Reef No.1 Site 1","201","3",-16.0383833333333,145.868766666667,2008,NA,"2008","9","_","HARD CORAL","HARD CORAL",606,2500,0.2424,"_.9",1819,10614
"29","1","Agincourt Reef No.1 Site 1","201","3",-16.0383833333333,145.868766666667,2009,NA,"2009","9","_","HARD CORAL","HARD CORAL",1713,5150,0.332621359223301,"_.9",1819,10614
"30","1","Agincourt Reef No.1 Site 1","201","3",-16.0383833333333,145.868766666667,2011,NA,"2011","9","_","HARD CORAL","HARD CORAL",659,2750,0.239636363636364,"_.9",1819,10614
"31","1","Agincourt Reef No.1 Site 1","201","3",-16.0383833333333,145.868766666667,2012,NA,"2012","9","_","HARD CORAL","HARD CORAL",245,2050,0.119512195121951,"_.9",1819,10614
"32","1","Agincourt Reef No.1 Site 1","201","3",-16.0383833333333,145.868766666667,2013,NA,"2013","9","_","HARD CORAL","HARD CORAL",429,2450,0.175102040816327,"_.9",1819,10614
"33","1","Agincourt Reef No.1 Site 1","201","3",-16.0383833333333,145.868766666667,2014,NA,"2014","9","_","HARD CORAL","HARD CORAL",441,2600,0.169615384615385,"_.9",1819,10614
"34","1","Agincourt Reef No.1 Site 1","201","3",-16.0383833333333,145.868766666667,2015,NA,"2015","9","_","HARD CORAL","HARD CORAL",1188,5300,0.224150943396226,"_.9",1819,10614
"35","1","Agincourt Reef No.1 Site 1","201","3",-16.0383833333333,145.868766666667,2016,NA,"2016","9","_","HARD CORAL","HARD CORAL",320,3050,0.104918032786885,"_.9",1819,10614
"36","1","Agincourt Reef No.1 Site 1","201","3",-16.0383833333333,145.868766666667,2017,NA,"2017","9","_","HARD CORAL","HARD CORAL",558,5200,0.107307692307692,"_.9",1819,10614
"37","1","Agincourt Reef No.1 Site 1","201","3",-16.0383833333333,145.868766666667,2019,NA,"2019","9","_","HARD CORAL","HARD CORAL",620,3950,0.156962025316456,"_.9",1819,10614
"38","1","Agincourt Reef No.1 Site 1","201","3",-16.0383833333333,145.868766666667,2020,NA,"2020","7","_","HARD CORAL","HARD CORAL",690,2840,0.242957746478873,"_.7",1819,10614
"39","1","Agincourt Reef No.1 Site 1","201","3",-16.0383833333333,145.868766666667,2020,NA,"2020","9","_","HARD CORAL","HARD CORAL",543,2900,0.187241379310345,"_.9",1819,10614
"40","1","Agincourt Reef No.1 Site 1","201","4",-16.0383833333333,145.868766666667,2007,NA,"2007","9","_","HARD CORAL","HARD CORAL",734,2750,0.266909090909091,"_.9",1819,10614
"41","1","Agincourt Reef No.1 Site 1","201","4",-16.0383833333333,145.868766666667,2008,NA,"2008","9","_","HARD CORAL","HARD CORAL",498,2700,0.184444444444444,"_.9",1819,10614
"42","1","Agincourt Reef No.1 Site 1","201","4",-16.0383833333333,145.868766666667,2009,NA,"2009","9","_","HARD CORAL","HARD CORAL",1544,5400,0.285925925925926,"_.9",1819,10614
"43","1","Agincourt Reef No.1 Site 1","201","4",-16.0383833333333,145.868766666667,2011,NA,"2011","9","_","HARD CORAL","HARD CORAL",664,2700,0.245925925925926,"_.9",1819,10614
"44","1","Agincourt Reef No.1 Site 1","201","4",-16.0383833333333,145.868766666667,2012,NA,"2012","9","_","HARD CORAL","HARD CORAL",304,2300,0.132173913043478,"_.9",1819,10614
"45","1","Agincourt Reef No.1 Site 1","201","4",-16.0383833333333,145.868766666667,2013,NA,"2013","9","_","HARD CORAL","HARD CORAL",419,2650,0.15811320754717,"_.9",1819,10614
"46","1","Agincourt Reef No.1 Site 1","201","4",-16.0383833333333,145.868766666667,2014,NA,"2014","9","_","HARD CORAL","HARD CORAL",445,2700,0.164814814814815,"_.9",1819,10614
"47","1","Agincourt Reef No.1 Site 1","201","4",-16.0383833333333,145.868766666667,2015,NA,"2015","9","_","HARD CORAL","HARD CORAL",1248,5450,0.228990825688073,"_.9",1819,10614
"48","1","Agincourt Reef No.1 Site 1","201","4",-16.0383833333333,145.868766666667,2016,NA,"2016","9","_","HARD CORAL","HARD CORAL",352,3250,0.108307692307692,"_.9",1819,10614
"49","1","Agincourt Reef No.1 Site 1","201","4",-16.0383833333333,145.868766666667,2017,NA,"2017","9","_","HARD CORAL","HARD CORAL",560,4300,0.130232558139535,"_.9",1819,10614
"50","1","Agincourt Reef No.1 Site 1","201","4",-16.0383833333333,145.868766666667,2019,NA,"2019","9","_","HARD CORAL","HARD CORAL",631,3850,0.163896103896104,"_.9",1819,10614
"51","1","Agincourt Reef No.1 Site 1","201","4",-16.0383833333333,145.868766666667,2020,NA,"2020","7","_","HARD CORAL","HARD CORAL",627,2420,0.259090909090909,"_.7",1819,10614
"52","1","Agincourt Reef No.1 Site 1","201","4",-16.0383833333333,145.868766666667,2020,NA,"2020","9","_","HARD CORAL","HARD CORAL",756,3382,0.223536369012419,"_.9",1819,10614
"53","1","Agincourt Reef No.1 Site 1","201","5",-16.0383833333333,145.868766666667,2007,NA,"2007","9","_","HARD CORAL","HARD CORAL",467,2600,0.179615384615385,"_.9",1819,10614
"54","1","Agincourt Reef No.1 Site 1","201","5",-16.0383833333333,145.868766666667,2008,NA,"2008","9","_","HARD CORAL","HARD CORAL",513,2550,0.201176470588235,"_.9",1819,10614
"55","1","Agincourt Reef No.1 Site 1","201","5",-16.0383833333333,145.868766666667,2009,NA,"2009","9","_","HARD CORAL","HARD CORAL",1347,5400,0.249444444444444,"_.9",1819,10614
"56","1","Agincourt Reef No.1 Site 1","201","5",-16.0383833333333,145.868766666667,2011,NA,"2011","9","_","HARD CORAL","HARD CORAL",530,2600,0.203846153846154,"_.9",1819,10614
"57","1","Agincourt Reef No.1 Site 1","201","5",-16.0383833333333,145.868766666667,2012,NA,"2012","9","_","HARD CORAL","HARD CORAL",134,2000,0.067,"_.9",1819,10614
"58","1","Agincourt Reef No.1 Site 1","201","5",-16.0383833333333,145.868766666667,2013,NA,"2013","9","_","HARD CORAL","HARD CORAL",436,2700,0.161481481481481,"_.9",1819,10614
